Gen	FittestString____	MaxFit	AvgFit	Diversity
348	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
349	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
350	ERHqifjCyOphGscbNk	0.0000	0.0000	2.12e-21
351	ERHqifjCyOYhGAcbNk	0.0000	0.0000	2.12e-21
352	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
353	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
354	ERHqifjCyOphGscbNk	0.0000	0.0000	2.12e-21
355	ERHqifjCyRYhGscbNk	0.0000	0.0000	2.12e-21
356	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
357	ERHgifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
358	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
359	ERHqifjCyRphGscbNk	0.0000	0.0000	2.12e-21
360	ERHqifjCyOYhGscb k	0.0000	0.0000	2.12e-21
361	ERHqifkCyOYhGscbNk	0.0000	0.0000	2.12e-21
362	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
363	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
364	TRHqifjCyOYhGscbNk	0.0556	0.0003	5.53e-02
365	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
366	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
367	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
368	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
369	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
370	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
371	ERHqifjiyOYhGscbNk	0.0000	0.0000	2.12e-21
372	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
373	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
374	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
375	ERHqifjMyOYhGscbbk	0.0556	0.0003	5.53e-02
376	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
377	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
378	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
379	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
380	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
381	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
382	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
383	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
384	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
385	ERHqifjMyOYhGscbNk	0.0000	0.0000	2.12e-21
